,aesthetic,readability,contrast
139,3.3,3.7,4.0
140,2.7,3.7,4.0
141,3.7,3.0,3.0
142,4.0,4.7,4.3
143,2.3,3.0,2.7
144,5.0,4.0,4.7
145,4.7,5.0,4.7
146,3.7,4.0,4.3
147,2.7,4.0,3.7
148,4.0,4.3,4.3
149,4.3,3.0,4.0
150,3.0,3.0,3.0
151,3.3,4.0,3.7
152,3.3,3.3,3.3
153,3.7,3.7,3.3
154,3.7,5.0,3.7
155,3.3,4.7,4.0
156,4.3,4.7,4.7
157,3.7,4.7,4.3
158,4.7,4.3,4.7
159,4.3,4.3,3.7
160,4.0,3.3,4.3
161,3.7,3.7,4.0
162,4.0,4.7,5.0
163,3.0,3.0,3.0
164,3.3,3.7,3.0
165,3.3,3.3,2.7
166,3.7,4.7,4.7
167,3.0,4.3,3.7
168,4.0,5.0,4.3
169,3.7,3.7,4.3
170,3.0,3.7,3.7
171,4.0,4.0,5.0
172,4.0,4.3,4.0
173,4.3,4.7,4.7
174,3.7,4.3,4.3
175,2.0,4.3,4.7
176,3.3,3.3,3.3
177,3.3,4.7,4.7
178,4.3,3.7,3.7
179,3.7,3.3,4.0
180,4.0,4.0,4.0
181,2.7,3.7,3.7
182,3.3,4.7,3.7
183,3.7,3.0,4.0
184,4.0,4.7,4.3
185,4.3,4.7,4.7
186,4.3,4.7,4.3
187,2.7,4.3,3.7
188,4.0,3.7,3.7
189,2.0,2.7,3.3
190,4.0,3.0,3.7
191,4.3,4.3,3.3
192,4.0,3.7,3.7
193,3.0,3.7,3.7
194,3.7,4.0,3.7
195,3.7,4.0,3.7
196,3.0,3.0,4.3
197,3.0,3.3,4.3
198,3.0,4.0,3.7
199,3.0,4.0,4.0
200,3.0,4.0,4.0
201,3.7,4.3,4.7
202,4.0,4.0,4.3
203,1.7,2.7,2.7
204,4.7,3.0,3.7
205,4.0,5.0,5.0
206,4.0,4.7,4.7
207,3.0,4.3,4.0
208,3.7,3.7,3.7
209,3.0,3.3,4.0
210,3.0,5.0,4.0
211,4.7,4.0,3.3
212,4.7,5.0,5.0
213,3.0,4.3,4.7
214,3.7,4.0,4.0
215,2.0,4.3,4.0
216,3.3,4.0,4.0
217,4.3,5.0,5.0
218,5.0,4.3,4.3
219,3.3,4.0,5.0
220,3.7,4.3,4.3
221,4.0,4.0,4.3
222,4.3,4.0,4.7
223,4.3,5.0,3.7
224,4.0,4.7,4.0
225,4.7,4.7,4.3
226,4.7,4.0,4.7
227,3.3,4.0,4.3
228,4.0,4.3,4.0
229,3.3,3.7,4.0
230,3.3,4.0,4.0
231,4.7,4.7,4.7
232,3.7,4.0,4.3
233,4.0,5.0,5.0
234,2.3,4.3,4.3
235,4.0,3.7,4.0
236,2.0,3.0,2.3
237,4.0,4.0,4.3
238,3.3,3.0,3.0
239,4.7,5.0,4.7
240,3.7,4.3,4.7
241,3.7,4.3,4.3
242,3.7,5.0,4.7
243,3.7,4.0,3.7
244,3.3,3.3,4.3
245,4.3,4.3,4.7
246,2.7,4.3,4.3
247,4.7,3.3,4.3
248,3.0,3.7,3.3
249,4.7,3.7,4.3
250,2.7,4.3,3.7
251,3.0,3.3,3.3
252,4.7,4.3,4.0
253,3.0,3.3,4.7
254,4.3,3.7,4.3
255,4.0,4.3,4.3
256,5.0,3.7,4.3
257,4.0,4.3,4.3
258,3.3,4.3,4.3
259,2.7,3.7,3.7
260,4.3,4.7,3.7
261,4.0,4.0,4.0
262,4.3,3.3,3.7
263,4.0,4.3,4.0
264,2.7,3.3,3.3
265,4.3,4.3,4.0
266,4.3,4.7,5.0
267,3.0,3.7,3.3
268,3.7,3.0,3.3
269,3.7,4.0,4.0
270,4.3,3.7,4.0
271,4.0,4.0,4.7
272,3.0,4.7,4.0
273,3.3,5.0,5.0
274,4.3,4.0,4.3
275,3.3,3.3,4.0
276,4.0,3.3,4.0
277,4.0,4.0,4.7
278,3.3,3.7,4.7
279,4.3,4.0,4.0
280,4.7,4.0,4.0
281,3.3,4.0,4.0
282,3.7,4.0,4.0
283,3.3,3.7,3.7
284,3.3,3.7,3.7
285,3.7,4.0,4.0
286,4.0,4.3,4.3
287,4.3,5.0,4.7
288,2.0,3.3,3.3
289,4.0,4.7,4.3
290,4.7,3.7,4.3
291,4.0,3.7,3.7
292,4.0,4.3,3.7
293,3.0,4.7,3.7
294,3.3,4.0,4.7
295,3.0,3.7,3.0
296,4.0,4.0,4.7
297,4.0,4.7,4.0
298,2.0,5.0,4.7
299,4.0,4.7,4.7
300,4.0,4.3,4.7
301,4.3,4.3,4.0
302,3.0,4.0,4.0
303,4.0,5.0,4.7
304,2.7,3.7,4.7
305,2.3,4.0,4.3
306,1.7,4.7,4.7
307,3.0,4.3,4.0
308,1.7,4.7,4.7
309,4.3,5.0,5.0
310,3.0,3.0,3.3
311,4.3,4.3,4.7
312,3.3,4.0,4.0
313,4.3,4.7,5.0
314,4.7,5.0,5.0
315,4.0,5.0,4.7
316,4.0,5.0,5.0
317,3.7,3.3,3.7
318,4.0,5.0,4.3
319,4.0,3.7,4.3
320,3.7,3.7,4.0
321,3.3,4.7,4.7
322,2.0,4.7,4.7
323,4.0,3.7,3.7
324,4.0,5.0,4.3
325,3.0,4.3,4.0
326,4.0,4.3,4.3
327,3.0,4.0,4.0
328,3.0,5.0,5.0
329,3.7,4.0,4.3
330,4.3,4.7,4.0
331,3.7,4.0,3.7
332,4.0,4.3,4.0
333,3.7,4.7,4.3
334,2.3,4.3,5.0
335,4.0,5.0,4.3
336,4.0,4.3,4.3
337,3.0,4.7,3.7
338,5.0,3.7,4.0
339,3.0,5.0,5.0
340,3.7,3.7,3.7
341,3.3,4.7,5.0
342,3.0,3.3,3.3
343,4.3,4.0,4.3
344,3.7,3.0,4.0
345,4.3,4.0,4.7
346,4.0,4.0,4.0
347,4.3,4.7,4.7
348,4.0,4.0,4.0
349,3.3,4.3,4.7
350,4.3,5.0,4.7
351,4.0,4.3,4.3
352,3.3,5.0,4.0
353,4.0,4.3,4.3
354,3.3,4.0,4.0
355,3.7,5.0,5.0
356,4.7,5.0,5.0
357,3.3,4.0,4.0
358,3.7,4.7,4.3
359,3.7,4.0,3.7
360,4.0,4.0,4.0
361,3.0,5.0,4.0
362,3.3,4.0,3.7
363,3.0,4.3,4.0
364,4.0,5.0,5.0
365,3.7,4.7,4.0
366,3.7,4.0,4.3
367,3.3,3.7,3.7
368,4.3,4.0,4.3
369,5.0,4.7,4.3
370,4.3,4.7,4.7
371,3.7,5.0,5.0
372,4.0,4.7,5.0
373,4.0,5.0,4.0
374,3.3,4.0,4.3
375,4.3,4.7,5.0
376,4.0,4.3,5.0
377,4.0,5.0,5.0
378,4.0,4.3,4.3
379,3.3,4.0,5.0
380,4.3,4.3,4.7
381,3.3,5.0,5.0
382,4.3,4.3,5.0
383,4.7,4.0,4.7
384,4.0,5.0,5.0
385,3.7,13.0,3.3
386,3.3,4.3,4.7
387,3.0,4.3,4.3
388,2.0,3.7,4.7
389,4.0,4.7,4.0
390,4.3,4.7,4.7
391,4.0,4.0,4.7
392,4.0,4.3,4.7
393,3.7,4.3,4.3
394,3.0,3.3,3.7
395,4.0,4.3,5.0
396,4.0,4.0,4.0
397,4.0,4.3,5.0
398,3.0,3.0,3.7
399,3.3,4.7,4.7
400,3.3,4.0,4.0
401,3.7,4.0,4.0
402,3.0,3.7,3.3
403,3.3,5.0,4.7
404,3.0,4.7,4.0
405,4.3,4.7,4.3
406,3.7,4.3,4.0
407,3.7,5.0,4.7
408,4.3,4.7,4.3
409,4.0,4.7,4.3
410,3.0,3.7,3.7
411,4.7,4.3,4.7
412,4.0,4.7,4.3
413,4.0,4.3,4.3
414,3.7,4.7,4.3
415,3.7,5.0,4.7
416,3.3,4.0,4.0
417,1.3,5.0,5.0
418,4.0,4.0,4.0
419,3.3,3.3,3.7
420,2.7,3.7,3.0
421,4.0,4.3,4.3
422,3.0,3.7,4.3
423,4.0,4.0,4.7
424,3.7,4.3,5.0
425,4.0,4.0,5.0
426,3.3,4.7,4.3
427,4.0,4.0,3.3
428,3.0,5.0,4.0
429,2.0,5.0,5.0
430,3.7,4.0,3.0
431,4.0,4.3,4.3
432,3.3,4.3,4.7
433,3.7,4.7,4.7
434,3.7,4.7,5.3
435,3.7,4.3,4.7
436,4.0,4.7,4.3
437,4.0,4.7,4.7
438,3.0,4.7,4.3
439,4.0,3.7,3.7
440,4.7,4.0,4.3
441,4.3,4.3,4.3
442,2.0,4.3,4.0
443,3.0,5.0,5.0
444,1.7,5.0,4.7
445,3.7,5.0,5.0
446,3.0,3.7,3.3
447,2.3,3.7,3.0
448,3.0,4.0,3.0
449,3.7,4.7,4.7
450,4.0,5.0,5.0
451,2.3,2.7,3.3
452,3.7,4.0,4.3
453,4.7,4.3,5.0
454,4.3,3.7,4.3
455,4.0,5.0,5.0
456,4.0,4.7,4.3
457,4.3,3.3,4.3
458,3.7,5.0,4.7
459,4.3,4.3,4.0
460,4.0,3.7,3.7
461,3.7,3.0,3.7
462,4.7,3.0,3.7
463,3.0,4.3,4.3
464,3.0,4.7,4.3
465,4.0,4.7,4.7
466,4.3,5.0,5.0
467,3.7,3.0,3.3
468,3.3,4.0,4.3
469,4.0,4.7,4.3
470,2.7,3.7,3.3
471,4.3,4.3,4.3
472,4.0,3.7,4.3
473,3.0,3.3,3.3
474,3.0,3.7,4.3
475,3.7,3.7,4.0
476,4.0,4.7,5.0
477,3.7,4.0,4.0
478,4.0,4.3,4.3
479,3.3,3.7,4.0
480,3.0,3.7,4.0
481,3.0,4.3,4.0
482,4.3,4.0,4.0
483,3.3,4.3,4.7
484,4.7,3.0,4.0
485,2.7,4.0,3.7
486,4.0,3.0,4.0
487,4.0,3.7,4.3
488,2.0,4.0,3.3
489,3.7,4.0,4.0
490,4.7,4.0,4.0
491,3.7,4.7,4.0
492,3.3,3.7,4.0
493,3.3,4.3,4.3
494,4.3,5.0,4.7
495,3.7,4.3,4.3
496,3.0,4.3,4.3
497,4.0,4.7,4.7
498,4.3,4.3,4.7
499,3.7,4.0,4.0
500,4.0,4.0,4.3
501,3.7,3.7,3.0
502,4.0,3.7,4.3
503,3.7,4.0,4.3
504,2.7,3.0,3.7
505,2.3,4.0,4.7
506,3.0,4.3,3.7
507,4.7,4.0,4.3
508,2.7,4.3,4.7
509,3.3,3.7,3.3
510,3.3,4.3,4.3
511,3.7,3.7,3.7
512,3.7,4.7,4.0
513,3.7,4.3,3.7
514,4.3,4.0,4.0
515,1.7,2.7,2.7
516,4.0,4.3,4.7
517,3.3,4.7,4.7
518,2.7,3.7,3.7
519,3.7,4.7,4.3
520,4.0,4.0,3.7
521,4.0,4.7,4.3
522,3.7,3.3,4.0
523,1.7,4.7,3.3
524,4.0,4.0,3.7
525,2.0,3.7,3.0
526,4.3,4.3,4.3
527,3.3,4.0,4.0
528,3.0,4.0,4.0
529,4.0,4.0,3.7
530,4.7,4.3,4.3
531,5.0,4.3,4.0
532,3.0,3.7,3.3
533,4.0,4.0,4.0
534,2.0,4.0,2.7
535,2.0,4.3,3.0
536,3.7,4.3,4.0
537,3.0,4.3,4.0
538,3.3,3.3,3.3
539,3.3,4.3,3.7
540,3.3,4.0,3.7
541,3.7,4.0,4.3
542,3.7,4.3,4.3
543,1.7,3.7,3.3
544,3.0,4.0,3.7
545,3.0,3.7,3.7
546,4.0,4.0,4.0
547,3.3,4.0,4.0
548,4.0,4.0,4.0
549,2.0,4.3,3.7
550,4.0,4.0,4.0
551,3.7,4.0,4.0
552,3.0,4.0,2.7
553,3.3,3.7,3.7
554,3.3,3.7,3.7
555,3.0,3.3,3.3
556,3.0,3.7,3.3
557,1.3,2.3,3.0
558,4.0,3.7,4.0
559,2.7,4.3,3.3
560,1.3,3.3,3.0
561,3.7,4.0,4.7
562,3.0,3.3,3.7
563,3.7,4.3,4.3
564,3.0,4.0,3.7
565,3.0,3.0,3.0
566,3.3,3.3,3.3
567,3.0,4.0,4.0
568,4.0,4.0,4.3
569,4.0,4.0,4.0
570,2.7,3.7,3.7
571,3.3,3.7,3.0
572,3.0,3.0,3.3
573,3.0,2.7,3.3
574,4.0,4.0,4.0
575,4.3,3.3,3.3
576,3.0,3.0,3.7
577,3.0,4.0,3.3
578,3.7,4.0,4.0
579,2.7,3.3,3.0
580,3.0,3.3,3.3
581,3.0,4.0,4.7
582,3.7,4.0,4.7
583,3.0,3.3,3.7
584,4.0,4.0,4.0
585,3.3,4.0,4.0
586,3.0,3.7,3.3
587,2.3,4.0,4.7
588,4.7,4.3,4.0
589,3.0,4.0,3.3
590,3.7,4.0,4.7
591,3.0,3.3,3.7
592,3.7,3.7,3.7
593,2.7,3.7,3.0
594,2.7,3.7,3.7
595,3.3,4.3,4.0
596,4.0,4.0,4.0
597,3.0,4.0,3.3
598,4.3,4.0,4.0
599,3.7,4.0,4.7
600,2.3,3.7,3.0
601,2.0,3.7,2.7
602,3.0,4.0,4.0
603,3.0,3.0,3.0
604,1.3,3.3,3.7
605,3.7,3.7,3.7
606,3.3,4.0,3.7
607,3.0,4.0,3.7
608,3.0,3.7,3.7
609,3.7,4.0,4.0
610,3.3,3.7,4.3
611,3.7,2.7,2.7
612,3.3,4.3,4.3
613,2.7,5.0,4.7
614,4.7,4.3,4.3
615,3.7,4.3,4.0
616,3.7,4.0,4.0
617,3.0,4.0,4.0
618,3.7,4.3,4.7
619,3.3,4.7,4.3
620,3.7,3.3,3.0
621,3.7,4.0,4.0
622,3.3,3.3,3.7
623,4.3,4.7,5.0
624,3.7,3.3,4.0
625,2.7,4.0,4.0
626,3.3,3.7,5.0
627,3.0,4.3,4.7
628,3.0,4.0,3.3
629,3.3,3.3,3.7
630,4.0,4.3,4.3
631,3.7,4.0,4.0
632,4.7,4.3,4.7
633,4.7,4.3,4.0
634,4.0,4.3,3.7
635,3.3,3.7,4.7
636,3.0,4.3,4.7
637,3.0,4.0,3.0
638,4.0,4.7,4.7
639,3.0,4.3,4.0
640,3.7,4.0,4.0
641,5.0,4.3,4.7
642,3.0,4.3,4.0
643,3.3,3.7,3.7
644,3.0,3.3,3.3
645,4.3,3.7,3.7
646,4.7,5.0,5.0
647,3.7,4.7,4.3
648,3.7,4.3,4.0
649,3.3,4.0,4.3
650,3.0,4.0,4.0
651,5.0,4.7,4.7
652,3.3,4.3,4.3
653,3.3,3.7,4.0
654,1.3,3.0,3.3
655,3.0,4.7,4.3
656,2.7,3.0,3.3
657,3.3,3.7,4.0
658,4.3,3.3,4.3
659,3.3,4.3,4.0
660,2.3,4.3,3.7
661,3.3,3.0,3.0
662,3.7,4.0,4.0
663,4.0,4.3,4.0
664,3.7,4.7,5.0
665,3.0,3.0,3.0
666,3.0,3.7,3.3
667,3.7,4.0,3.7
668,3.3,4.3,4.3
669,4.0,4.0,4.0
670,3.3,4.3,4.3
671,3.0,3.7,4.0
672,4.0,4.3,4.0
673,4.0,3.0,3.7
674,3.3,4.0,4.0
675,4.3,4.7,4.7
676,4.3,3.3,4.3
677,3.7,4.0,4.0
678,3.0,3.3,3.0
679,4.0,4.7,4.0
680,4.0,4.0,4.0
681,4.0,4.3,4.3
682,4.0,4.3,5.0
683,3.3,4.0,4.3
684,3.7,4.0,3.3
685,3.0,3.7,3.3
686,4.0,4.0,4.7
687,4.0,4.0,3.7
688,3.3,3.3,4.0
689,3.7,3.7,3.0
690,4.0,4.0,4.0
691,4.0,4.3,5.0
692,1.0,3.0,3.0
693,4.7,4.7,4.3
694,3.3,4.0,4.0
695,4.0,4.0,4.0
696,3.3,4.3,4.0
697,3.7,4.3,4.0
698,4.0,3.7,3.3
699,3.0,4.3,3.7
700,1.3,4.0,3.3
701,4.0,4.0,3.7
702,3.0,4.3,4.0
703,3.3,3.7,3.7
704,3.3,4.0,4.0
705,3.0,4.3,4.7
706,3.0,3.0,3.3
707,1.7,3.3,4.0
708,4.3,4.3,4.3
709,3.7,4.3,4.0
710,3.0,4.3,4.7
711,4.0,4.7,4.7
712,3.3,3.7,4.3
713,4.0,5.0,4.7
714,3.3,3.0,3.7
715,3.0,3.7,3.3
716,3.0,5.0,4.3
717,3.3,4.3,5.0
718,3.7,4.0,3.0
719,3.0,4.3,3.7
720,4.3,4.0,3.0
721,3.7,3.3,3.7
722,3.7,4.3,4.3
723,3.7,3.7,3.0
724,1.3,3.7,3.7
725,3.7,4.3,4.7
726,4.0,3.3,3.7
727,4.0,2.7,2.7
728,3.7,4.3,4.7
729,3.0,4.7,3.7
730,3.3,2.7,3.7
731,4.7,3.3,4.3
732,3.0,3.3,3.0
733,4.3,4.0,4.0
734,3.7,4.7,5.0
735,3.3,4.3,3.3
736,3.7,4.7,4.7
737,2.0,5.0,5.0
738,3.0,3.7,3.7
739,3.7,5.0,4.3
740,4.0,5.0,5.0
741,4.0,5.0,5.0
742,3.7,5.0,4.3
743,4.7,4.7,5.0
744,3.0,4.7,3.7
745,3.0,3.3,3.3
746,4.0,4.0,4.0
747,3.3,3.0,3.7
748,4.0,4.3,4.3
749,3.3,5.0,5.0
750,4.3,5.0,4.7
751,3.7,4.0,4.0
752,4.0,3.3,3.3
753,3.3,4.0,4.7
754,3.0,4.0,4.0
755,2.0,4.7,4.3
756,3.0,4.0,4.7
757,3.0,3.7,3.7
758,3.0,3.3,3.3
759,3.0,4.3,3.0
760,4.0,3.7,3.3
761,2.0,2.7,3.3
762,3.0,3.0,3.0
763,3.7,4.3,4.0
764,3.7,3.0,2.7
765,3.7,4.7,4.0
766,3.7,4.0,4.3
767,3.0,3.7,4.3
768,4.0,4.0,4.0
769,2.7,3.7,4.0
770,4.7,5.0,5.0
771,3.7,4.0,3.3
772,4.0,3.0,4.3
773,3.0,4.0,4.0
774,2.7,4.0,3.7
775,3.0,3.0,3.0
776,3.3,4.0,3.7
777,4.3,3.7,4.3
778,4.3,5.0,5.0
779,4.0,3.7,4.0
780,3.0,3.7,4.0
781,2.3,3.7,2.7
782,3.3,4.3,4.3
783,3.3,3.0,3.3
784,3.0,4.3,5.0
785,4.0,3.0,4.0
786,3.0,4.3,4.7
787,4.0,4.0,4.7
788,3.7,4.3,4.3
789,3.3,3.7,3.0
790,3.7,5.0,4.7
791,3.0,4.3,4.0
792,3.7,3.7,4.0
793,2.0,4.3,4.0
794,5.0,3.7,5.0
795,4.0,4.0,4.0
796,1.7,3.7,3.3
797,3.3,2.0,3.0
798,3.3,4.0,4.0
799,3.3,3.0,3.0
800,3.0,4.7,4.3
801,3.0,3.0,2.3
802,1.3,3.0,3.7
803,3.0,4.3,3.3
804,3.3,3.3,3.7
805,3.0,3.7,3.3
806,3.0,4.0,4.3
807,3.7,3.3,3.3
808,3.0,3.7,3.0
809,3.3,3.7,3.7
810,2.7,4.0,4.3
811,4.0,4.3,4.3
812,3.7,4.0,4.0
813,4.3,4.7,5.0
814,3.0,3.3,3.0
815,3.0,2.0,3.0
816,4.7,5.0,5.0
817,4.0,5.0,5.0
818,2.7,4.7,4.0
819,3.7,4.7,4.0
820,4.0,4.0,4.3
821,3.0,3.7,3.7
822,3.3,2.3,2.3
823,3.7,4.7,3.7
824,3.7,3.7,4.7
825,3.7,4.3,4.7
826,4.3,4.3,3.7
827,3.3,3.3,3.3
828,3.3,3.3,3.0
829,4.0,4.7,4.7
830,3.7,5.0,5.0
831,4.0,4.0,3.7
832,3.3,3.3,3.3
833,3.0,4.0,4.3
834,3.0,3.7,4.0
835,4.0,4.0,4.7
836,3.3,4.3,4.3
837,4.7,4.0,5.0
838,3.7,4.7,4.7
839,3.0,4.0,4.3
840,4.0,4.0,4.7
841,3.3,4.3,4.3
842,4.3,4.0,3.3
843,4.0,3.7,3.7
844,3.7,3.3,3.7
845,3.0,4.3,5.0
846,3.7,3.0,3.0
847,3.0,4.3,4.3
848,3.7,4.7,4.7
849,3.3,3.3,4.3
850,3.3,4.0,3.3
851,3.0,5.0,5.0
852,3.7,3.3,3.7
853,4.0,4.0,4.0
854,3.0,3.0,2.0
855,4.0,4.0,3.7
856,3.3,2.7,3.7
857,3.0,4.7,4.0
858,3.3,5.0,5.0
859,2.7,3.3,2.3
860,4.3,4.3,4.7
861,3.0,3.0,3.7
862,3.0,4.0,4.0
863,3.0,4.3,4.0
864,3.3,3.0,3.7
865,4.3,4.0,5.0
866,3.0,2.7,3.0
867,3.7,3.0,3.0
868,4.7,5.0,4.7
869,4.0,3.0,3.0
870,3.7,5.0,3.7
871,3.0,3.7,3.7
872,3.3,4.0,3.7
873,4.0,4.0,4.7
874,4.0,4.0,3.7
875,3.7,3.7,3.7
876,4.7,4.0,5.0
877,3.3,2.7,4.0
878,3.7,3.7,3.7
879,3.7,4.7,4.3
880,4.0,3.7,4.3
881,3.0,4.0,4.0
882,4.0,4.0,5.0
883,3.7,4.7,4.7
884,3.3,3.7,3.3
885,4.7,4.0,4.3
886,4.0,4.3,4.7
887,3.0,3.3,3.3
888,3.7,4.0,3.7
889,2.7,4.0,4.7
890,3.7,4.3,5.0
891,4.0,4.0,3.3
892,4.0,4.0,4.0
893,3.3,3.3,3.0
894,3.7,3.0,3.7
895,3.0,3.3,3.7
896,4.0,4.0,4.3
897,4.3,4.0,5.0
898,3.0,3.7,4.0
899,3.0,4.0,3.3
900,3.3,4.3,4.7
901,4.3,4.0,3.7
902,3.3,4.0,4.0
903,3.7,4.0,4.0
904,3.0,2.7,3.0
905,3.0,4.7,3.0
906,4.0,4.7,4.7
907,2.3,5.0,4.3
908,2.0,4.3,4.3
909,3.7,5.0,5.0
910,3.0,4.0,3.3
911,3.0,4.3,4.0
912,3.0,3.7,2.7
913,3.7,4.0,4.0
914,3.0,3.0,3.0
915,3.7,3.3,5.0
916,3.3,4.3,3.7
917,4.3,4.3,5.0
918,3.0,4.0,3.3
919,3.0,3.7,3.0
920,3.7,3.7,3.7
921,4.0,4.3,4.3
922,3.3,4.3,4.0
923,3.0,3.0,3.0
924,4.0,4.0,5.0
925,2.0,3.7,3.3
926,3.0,3.3,3.3
927,3.7,3.7,4.3
928,3.0,3.7,4.0
929,3.7,4.0,5.0
930,3.0,4.7,4.0
931,3.3,3.7,3.0
932,3.3,4.0,4.0
933,3.0,3.7,4.0
934,3.7,4.7,4.3
935,5.0,4.7,5.0
936,3.7,4.0,3.7
937,3.7,3.0,3.7
938,3.7,3.0,3.0
939,4.7,4.3,3.7
940,3.0,5.0,4.7
941,3.0,4.3,4.0
942,2.0,4.0,4.3
943,4.3,4.3,4.0
944,1.7,4.0,4.0
945,4.0,3.3,4.7
946,3.0,4.7,4.3
947,3.7,4.0,4.7
948,4.7,4.7,5.0
949,3.3,4.3,4.0
950,4.7,4.3,4.7
951,3.7,3.3,3.0
952,3.7,4.3,4.7
953,3.7,4.0,3.7
954,3.7,3.7,4.3
955,3.0,4.3,3.3
956,3.3,4.0,4.3
957,4.0,4.0,4.0
958,3.7,3.7,3.3
959,3.3,4.0,4.7
960,3.0,3.7,3.3
961,3.7,3.3,3.3
962,3.7,2.7,4.0
963,3.0,3.7,4.0
964,3.0,3.7,3.7
965,4.0,4.0,4.0
966,4.0,3.7,3.7
967,3.0,3.7,3.7
968,3.0,3.3,3.0
969,4.0,3.3,3.3
970,3.0,3.7,3.7
971,3.0,3.0,3.3
972,3.7,4.0,4.0
973,3.3,3.7,3.7
974,3.0,2.7,3.7
975,2.3,3.0,3.7
976,3.0,5.0,5.0
977,4.0,2.7,4.3
978,3.7,4.0,4.3
979,4.0,4.0,4.0
980,3.0,2.3,2.3
981,1.7,2.7,3.3
982,4.0,3.0,3.3
983,3.3,3.0,3.3
984,3.7,4.0,4.0
985,3.0,4.3,3.3
986,4.0,3.3,2.7
987,3.3,4.0,4.0
988,1.7,3.7,4.0
989,3.0,4.3,4.3
990,3.0,4.0,3.0
991,3.0,4.0,4.0
992,3.0,4.7,4.0
993,4.0,3.7,4.0
994,3.0,3.0,3.3
995,4.0,4.0,3.7
996,3.3,3.3,4.0
997,3.3,3.3,3.0
